Car-Type,day of week,monthly visits
2,Sunday,August
2,Friday,August
2,Wednesday,June
2,Monday,June
2,Saturday,June
2,Thursday,August
2,Sunday,August
2,Sunday,August
2,Wednesday,September
2,Sunday,September
2,Monday,May
2,Wednesday,August
2,Saturday,August
2,Friday,June
2,Thursday,July
2,Sunday,July
2,Tuesday,July
2,Sunday,September
2,Sunday,October
2,Sunday,June
2,Tuesday,July
2,Monday,June
2,Wednesday,July
2,Tuesday,June
2,Tuesday,June
2,Wednesday,September
2,Wednesday,July
2,Friday,July
2,Friday,July
2,Sunday,July
2,Wednesday,June
2,Saturday,July
2,Monday,July
2,Saturday,July
2,Sunday,July
2,Tuesday,August
2,Tuesday,August
2,Sunday,July
2,Tuesday,July
2,Tuesday,July
2,Monday,August
2,Wednesday,October
2,Friday,August
2,Saturday,August
2,Friday,October
2,Sunday,August
2,Sunday,August
2,Friday,July
2,Friday,July
2,Saturday,July
2,Thursday,June
2,Sunday,June
2,Monday,June
2,Wednesday,July
2,Monday,May
2,Saturday,June
2,Monday,June
2,Sunday,September
2,Sunday,May
2,Wednesday,September
2,Thursday,May
2,Tuesday,September
2,Monday,September
2,Friday,July
2,Wednesday,September
2,Wednesday,June
2,Wednesday,June
2,Wednesday,June
2,Thursday,June
2,Saturday,June
2,Saturday,September
2,Sunday,September
2,Thursday,August
2,Thursday,August
2,Wednesday,July
2,Thursday,July
2,Monday,August
2,Thursday,October
2,Saturday,August
2,Sunday,August
2,Monday,May
2,Friday,May
2,Wednesday,August
2,Saturday,June
2,Friday,August
2,Sunday,August
2,Tuesday,July
2,Tuesday,July
2,Thursday,May
2,Thursday,May
2,Tuesday,June
2,Friday,June
2,Friday,July
2,Monday,July
2,Friday,July
2,Friday,July
2,Friday,September
2,Saturday,September
2,Tuesday,May
2,Sunday,July
2,Wednesday,August
2,Wednesday,August
2,Sunday,June
2,Friday,May
2,Sunday,August
2,Tuesday,June
2,Tuesday,June
2,Friday,June
2,Saturday,June
2,Saturday,September
2,Monday,September
2,Saturday,September
2,Sunday,September
2,Saturday,August
2,Thursday,August
2,Monday,August
2,Tuesday,June
2,Wednesday,June
2,Sunday,July
2,Wednesday,August
2,Tuesday,August
2,Sunday,July
2,Tuesday,July
2,Friday,August
2,Wednesday,September
2,Friday,May
2,Sunday,May
2,Friday,September
2,Friday,September
2,Tuesday,July
2,Sunday,June
2,Wednesday,June
2,Wednesday,October
2,Thursday,October
2,Monday,June
2,Monday,June
2,Sunday,July
2,Wednesday,June
2,Saturday,June
2,Saturday,June
2,Friday,September
2,Tuesday,September
2,Sunday,August
2,Monday,August
2,Wednesday,September
2,Monday,August
2,Thursday,August
2,Tuesday,May
2,Tuesday,June
2,Tuesday,June
2,Monday,August
2,Monday,August
2,Saturday,July
2,Monday,July
2,Tuesday,August
2,Sunday,July
2,Sunday,July
2,Thursday,August
2,Monday,July
2,Thursday,August
2,Friday,August
2,Tuesday,September
2,Tuesday,September
2,Thursday,July
2,Friday,July
2,Wednesday,September
2,Wednesday,September
2,Tuesday,June
2,Tuesday,June
2,Sunday,August
2,Monday,August
2,Monday,August
2,Sunday,July
2,Tuesday,June
2,Wednesday,June
2,Thursday,September
2,Wednesday,August
2,Sunday,June
2,Tuesday,June
2,Sunday,June
2,Friday,June
2,Wednesday,July
2,Thursday,July
2,Monday,August
2,Monday,August
2,Sunday,May
2,Wednesday,May
2,Saturday,July
2,Sunday,July
2,Sunday,July
2,Tuesday,September
2,Saturday,September
2,Monday,September
2,Tuesday,June
2,Thursday,August
2,Friday,August
2,Thursday,September
2,Monday,September
2,Saturday,October
2,Wednesday,June
2,Wednesday,June
2,Thursday,June
2,Thursday,June
2,Sunday,June
2,Sunday,October
2,Friday,September
2,Friday,September
2,Sunday,September
2,Sunday,June
2,Friday,August
2,Friday,August
2,Tuesday,September
2,Thursday,September
2,Tuesday,June
2,Sunday,August
2,Friday,August
2,Friday,September
2,Monday,August
2,Thursday,August
2,Friday,November
2,Saturday,August
2,Wednesday,September
2,Wednesday,July
2,Wednesday,July
2,Friday,September
2,Saturday,September
2,Sunday,July
2,Monday,July
2,Saturday,September
2,Saturday,September
2,Saturday,September
2,Monday,July
2,Friday,July
2,Sunday,August
2,Monday,September
2,Wednesday,September
2,Saturday,August
2,Tuesday,June
2,Wednesday,June
2,Wednesday,June
2,Friday,July
2,Friday,July
2,Monday,August
2,Friday,December
2,Friday,June
2,Sunday,September
2,Wednesday,September
2,Sunday,June
2,Tuesday,December
2,Tuesday,December
2,Thursday,September
2,Friday,August
2,Saturday,August
2,Friday,July
2,Friday,July
2,Friday,July
2,Wednesday,June
2,Monday,June
2,Monday,August
2,Tuesday,August
2,Sunday,June
2,Wednesday,July
2,Monday,September
2,Saturday,August
2,Tuesday,September
2,Wednesday,July
2,Saturday,August
2,Saturday,September
2,Monday,August
2,Thursday,June
2,Saturday,July
2,Sunday,July
2,Sunday,July
2,Friday,June
2,Saturday,June
2,Sunday,July
2,Wednesday,July
2,Sunday,July
2,Wednesday,July
2,Sunday,September
2,Monday,September
2,Friday,May
2,Wednesday,July
2,Saturday,July
2,Wednesday,July
2,Sunday,July
2,Monday,June
2,Friday,July
2,Sunday,July
2,Sunday,July
2,Sunday,July
2,Friday,June
2,Saturday,June
2,Monday,July
2,Thursday,August
2,Sunday,August
2,Sunday,September
2,Friday,September
2,Monday,June
2,Tuesday,September
2,Tuesday,June
2,Saturday,May
2,Tuesday,May
2,Friday,October
2,Friday,October
2,Sunday,May
2,Tuesday,November
2,Tuesday,May
2,Monday,May
2,Thursday,August
2,Thursday,August
2,Friday,July
2,Tuesday,June
2,Sunday,August
2,Saturday,September
2,Monday,August
2,Thursday,August
2,Monday,August
2,Monday,August
2,Sunday,July
2,Monday,July
2,Saturday,August
2,Monday,July
2,Thursday,July
2,Sunday,September
2,Tuesday,September
2,Thursday,August
2,Friday,August
2,Monday,July
2,Thursday,July
2,Friday,August
2,Sunday,August
2,Monday,September
2,Thursday,October
2,Tuesday,September
2,Wednesday,September
2,Sunday,October
2,Thursday,July
2,Tuesday,June
2,Monday,July
2,Sunday,August
2,Tuesday,September
2,Thursday,July
2,Sunday,August
2,Friday,July
2,Friday,July
2,Saturday,August
2,Saturday,August
2,Saturday,May
2,Thursday,July
2,Thursday,July
2,Thursday,June
2,Saturday,June
2,Tuesday,August
2,Sunday,July
2,Tuesday,July
2,Sunday,July
2,Monday,June
2,Saturday,August
2,Monday,August
2,Tuesday,June
2,Friday,June
2,Wednesday,September
2,Wednesday,June
2,Saturday,September
2,Saturday,June
2,Wednesday,May
2,Thursday,August
2,Sunday,September
2,Tuesday,September
2,Thursday,May
2,Thursday,October
2,Sunday,May
2,Wednesday,August
2,Thursday,June
2,Friday,June
2,Wednesday,May
2,Monday,May
2,Saturday,June
2,Wednesday,June
2,Saturday,June
2,Sunday,June
2,Thursday,August
2,Friday,August
2,Sunday,June
2,Monday,September
2,Wednesday,September
2,Monday,June
2,Tuesday,September
2,Tuesday,September
2,Tuesday,June
2,Monday,July
2,Tuesday,June
2,Sunday,August
2,Monday,May
2,Friday,June
2,Saturday,June
2,Monday,July
2,Saturday,August
2,Friday,August
2,Tuesday,September
2,Thursday,July
2,Thursday,July
2,Sunday,August
2,Wednesday,September
2,Sunday,October
2,Sunday,August
2,Friday,July
2,Saturday,July
2,Saturday,July
2,Friday,July
2,Sunday,July
2,Wednesday,July
2,Wednesday,August
2,Thursday,August
2,Monday,July
2,Wednesday,July
2,Sunday,June
2,Monday,June
2,Tuesday,September
2,Saturday,May
2,Tuesday,May
2,Sunday,August
2,Monday,August
2,Saturday,July
2,Friday,September
2,Saturday,September
2,Monday,October
2,Sunday,July
2,Friday,June
2,Monday,June
2,Sunday,September
2,Tuesday,September
2,Monday,September
2,Monday,December
2,Friday,June
2,Wednesday,September
2,Thursday,September
2,Friday,September
2,Saturday,July
2,Saturday,August
2,Friday,June
2,Friday,June
2,Saturday,September
2,Sunday,September
2,Sunday,September
2,Monday,September
2,Saturday,August
2,Monday,August
2,Saturday,August
2,Saturday,August
2,Wednesday,July
2,Sunday,July
2,Saturday,August
2,Friday,July
2,Saturday,July
2,Tuesday,June
2,Sunday,September
2,Sunday,September
2,Tuesday,August
2,Tuesday,September
2,Friday,September
2,Sunday,August
2,Tuesday,August
2,Wednesday,September
2,Wednesday,September
2,Thursday,September
2,Friday,September
2,Thursday,September
2,Friday,September
2,Monday,August
2,Friday,July
2,Saturday,July
2,Thursday,June
2,Friday,June
2,Monday,July
2,Thursday,August
2,Wednesday,June
2,Sunday,June
2,Wednesday,August
2,Saturday,August
2,Sunday,August
2,Thursday,October
2,Saturday,August
2,Monday,August
2,Tuesday,August
2,Thursday,September
2,Tuesday,August
2,Tuesday,May
2,Friday,August
2,Thursday,September
2,Sunday,August
2,Saturday,May
2,Friday,October
2,Tuesday,June
2,Thursday,June
2,Sunday,August
2,Wednesday,June
2,Thursday,September
2,Thursday,September
2,Thursday,August
2,Thursday,June
2,Sunday,September
2,Monday,September
2,Wednesday,July
2,Monday,June
2,Monday,June
2,Thursday,July
2,Wednesday,September
2,Wednesday,June
2,Friday,July
2,Monday,July
2,Friday,July
2,Saturday,July
2,Friday,July
2,Friday,July
2,Tuesday,May
2,Saturday,September
2,Wednesday,July
2,Friday,July
2,Saturday,August
2,Tuesday,August
2,Wednesday,July
2,Saturday,July
2,Saturday,May
2,Sunday,July
2,Sunday,June
2,Friday,August
2,Saturday,August
2,Monday,September
2,Saturday,September
2,Sunday,November
2,Thursday,August
2,Thursday,June
2,Wednesday,September
2,Friday,September
2,Sunday,August
2,Wednesday,August
2,Wednesday,August
2,Saturday,June
2,Saturday,June
2,Saturday,June
2,Sunday,September
2,Sunday,June
2,Sunday,June
2,Sunday,August
2,Sunday,August
2,Monday,August
2,Friday,August
2,Wednesday,June
2,Thursday,July
2,Wednesday,June
2,Monday,June
2,Monday,August
2,Wednesday,August
2,Wednesday,June
2,Sunday,October
2,Friday,May
2,Thursday,July
2,Saturday,August
2,Tuesday,June
2,Tuesday,June
2,Friday,July
2,Saturday,August
2,Friday,July
2,Monday,August
2,Monday,June
2,Thursday,June
2,Thursday,October
2,Friday,October
2,Saturday,July
2,Saturday,July
2,Tuesday,September
2,Saturday,July
2,Monday,July
2,Saturday,June
2,Thursday,June
2,Monday,July
2,Sunday,July
2,Friday,August
2,Sunday,August
2,Tuesday,June
2,Thursday,June
2,Saturday,July
2,Saturday,September
2,Thursday,September
2,Tuesday,October
2,Tuesday,October
2,Tuesday,September
2,Friday,September
2,Sunday,August
2,Friday,August
2,Wednesday,June
2,Wednesday,June
2,Sunday,September
2,Thursday,June
2,Thursday,June
2,Wednesday,August
2,Saturday,September
2,Sunday,September
2,Thursday,August
2,Monday,August
2,Sunday,June
2,Monday,June
2,Monday,June
2,Tuesday,June
2,Sunday,August
2,Wednesday,August
2,Saturday,July
2,Sunday,July
2,Saturday,July
2,Wednesday,August
2,Wednesday,August
2,Thursday,August
2,Friday,August
2,Sunday,September
2,Wednesday,October
2,Thursday,October
2,Monday,September
2,Saturday,August
2,Sunday,August
2,Tuesday,September
2,Thursday,October
2,Monday,June
2,Tuesday,December
2,Friday,October
2,Tuesday,June
2,Monday,August
2,Tuesday,September
2,Wednesday,July
2,Sunday,July
2,Friday,October
2,Tuesday,June
2,Thursday,June
2,Wednesday,September
2,Wednesday,September
2,Thursday,September
2,Wednesday,June
2,Monday,June
2,Saturday,July
2,Sunday,July
2,Sunday,September
2,Monday,September
2,Friday,August
2,Tuesday,July
2,Wednesday,August
2,Wednesday,June
2,Monday,August
2,Sunday,May
2,Sunday,June
2,Tuesday,June
2,Tuesday,September
2,Saturday,September
2,Friday,May
2,Saturday,May
2,Saturday,May
2,Saturday,May
2,Wednesday,September
2,Friday,September
2,Wednesday,June
2,Friday,June
2,Tuesday,August
2,Thursday,August
2,Thursday,August
2,Sunday,September
2,Tuesday,September
2,Friday,August
2,Thursday,August
2,Saturday,August
2,Saturday,August
2,Saturday,July
2,Saturday,July
2,Monday,September
2,Thursday,October
2,Tuesday,September
2,Thursday,July
2,Monday,June
2,Friday,July
2,Wednesday,July
2,Friday,July
2,Monday,July
2,Friday,September
2,Wednesday,August
2,Thursday,August
2,Friday,June
2,Wednesday,August
2,Saturday,June
2,Saturday,June
2,Saturday,June
2,Thursday,June
2,Friday,August
2,Monday,July
2,Tuesday,July
2,Sunday,June
2,Monday,June
2,Friday,May
2,Tuesday,May
2,Wednesday,June
2,Thursday,July
2,Sunday,July
2,Saturday,July
2,Saturday,July
2,Monday,October
2,Friday,September
2,Sunday,July
2,Friday,June
2,Sunday,June
2,Sunday,September
2,Wednesday,September
2,Friday,August
2,Sunday,August
2,Tuesday,September
2,Sunday,September
2,Saturday,May
2,Friday,September
2,Sunday,September
2,Thursday,November
2,Sunday,June
2,Monday,June
2,Wednesday,September
2,Sunday,August
2,Sunday,August
2,Sunday,August
2,Sunday,August
2,Thursday,July
2,Friday,September
2,Saturday,October
2,Friday,June
2,Monday,June
2,Saturday,November
2,Thursday,May
2,Saturday,August
2,Saturday,August
2,Monday,June
2,Tuesday,June
2,Monday,June
2,Saturday,July
2,Sunday,August
2,Sunday,August
2,Tuesday,September
2,Tuesday,June
2,Wednesday,July
2,Saturday,August
2,Tuesday,August
2,Thursday,September
2,Thursday,June
2,Wednesday,November
2,Saturday,July
2,Saturday,July
2,Tuesday,August
2,Wednesday,August
2,Sunday,July
2,Sunday,July
2,Wednesday,August
2,Saturday,August
2,Friday,May
2,Sunday,August
2,Sunday,August
2,Saturday,July
2,Saturday,September
2,Sunday,September
2,Wednesday,August
2,Thursday,August
2,Tuesday,August
2,Saturday,June
2,Sunday,June
2,Friday,June
2,Friday,August
2,Thursday,August
2,Tuesday,August
2,Monday,June
2,Friday,June
2,Friday,July
2,Friday,June
2,Saturday,June
2,Monday,July
2,Friday,August
2,Thursday,May
2,Wednesday,October
2,Wednesday,October
2,Saturday,August
2,Monday,September
2,Tuesday,August
2,Friday,October
2,Saturday,October
2,Wednesday,June
2,Sunday,July
2,Thursday,August
2,Saturday,August
2,Saturday,June
2,Monday,June
2,Saturday,June
2,Monday,June
2,Wednesday,July
2,Wednesday,July
2,Saturday,August
2,Monday,June
2,Sunday,August
2,Monday,August
2,Monday,June
2,Monday,November
2,Wednesday,November
2,Saturday,July
2,Thursday,July
2,Monday,July
2,Saturday,June
2,Saturday,June
2,Sunday,September
2,Tuesday,July
2,Thursday,July
2,Sunday,June
2,Sunday,June
2,Monday,June
2,Tuesday,July
2,Sunday,June
2,Sunday,June
2,Thursday,May
2,Thursday,May
2,Friday,May
2,Sunday,May
2,Wednesday,July
2,Wednesday,June
2,Wednesday,June
2,Thursday,June
2,Friday,June
2,Sunday,May
2,Saturday,May
2,Monday,May
2,Thursday,June
2,Wednesday,August
2,Saturday,August
2,Saturday,September
2,Tuesday,September
2,Wednesday,August
2,Sunday,August
2,Sunday,September
2,Tuesday,September
2,Sunday,June
2,Wednesday,June
2,Friday,July
2,Monday,June
2,Friday,July
2,Monday,September
2,Tuesday,June
2,Sunday,August
2,Friday,September
2,Wednesday,September
2,Friday,August
2,Friday,August
2,Sunday,August
2,Tuesday,July
2,Thursday,July
2,Friday,July
2,Saturday,August
2,Tuesday,June
2,Wednesday,June
2,Wednesday,November
2,Saturday,July
2,Saturday,July
2,Sunday,July
2,Monday,July
2,Thursday,August
2,Monday,July
2,Tuesday,July
2,Wednesday,May
2,Wednesday,May
2,Friday,August
2,Wednesday,August
2,Tuesday,September
2,Saturday,September
2,Monday,August
2,Tuesday,August
2,Friday,July
2,Sunday,July
2,Sunday,May
2,Monday,May
2,Saturday,September
2,Saturday,June
2,Thursday,May
2,Friday,May
2,Friday,August
2,Sunday,August
2,Wednesday,September
2,Friday,September
2,Tuesday,August
2,Saturday,August
2,Sunday,August
2,Tuesday,September
2,Saturday,August
2,Wednesday,August
2,Monday,November
2,Tuesday,June
2,Friday,July
2,Monday,August
2,Friday,July
2,Sunday,July
2,Friday,August
2,Sunday,September
2,Monday,September
2,Monday,September
2,Saturday,August
2,Sunday,August
2,Wednesday,July
2,Friday,July
2,Monday,June
2,Tuesday,September
2,Thursday,October
2,Sunday,August
2,Saturday,October
2,Friday,July
2,Friday,July
2,Saturday,August
2,Monday,June
2,Thursday,July
2,Thursday,July
2,Wednesday,July
2,Thursday,June
2,Saturday,July
2,Tuesday,July
2,Tuesday,August
2,Tuesday,August
2,Friday,June
2,Friday,June
2,Friday,August
2,Friday,August
2,Sunday,November
2,Friday,October
2,Monday,October
2,Friday,July
2,Saturday,July
2,Tuesday,August
2,Saturday,August
2,Thursday,August
2,Saturday,July
2,Saturday,September
2,Thursday,September
2,Wednesday,August
2,Tuesday,August
2,Sunday,September
2,Monday,September
2,Saturday,June
2,Sunday,June
2,Thursday,August
2,Thursday,August
2,Friday,August
2,Monday,September
2,Tuesday,September
2,Tuesday,September
2,Sunday,September
2,Tuesday,June
2,Wednesday,September
2,Thursday,September
2,Tuesday,August
2,Friday,August
2,Saturday,June
2,Monday,June
2,Wednesday,May
2,Sunday,June
2,Tuesday,June
2,Saturday,August
2,Tuesday,August
2,Tuesday,June
2,Friday,June
2,Sunday,August
2,Monday,August
2,Sunday,August
2,Tuesday,August
2,Friday,July
2,Sunday,July
2,Monday,August
2,Thursday,August
2,Tuesday,August
2,Thursday,June
2,Sunday,July
2,Sunday,September
2,Thursday,June
2,Thursday,July
2,Tuesday,August
2,Tuesday,May
2,Monday,July
2,Friday,August
2,Monday,August
2,Wednesday,July
2,Sunday,August
2,Sunday,September
2,Tuesday,June
2,Saturday,July
2,Friday,May
2,Thursday,July
2,Sunday,July
2,Saturday,September
2,Wednesday,September
2,Friday,July
2,Friday,July
2,Saturday,July
2,Monday,July
2,Saturday,July
2,Sunday,July
2,Saturday,September
2,Saturday,September
2,Sunday,July
2,Friday,July
2,Monday,June
2,Friday,August
2,Monday,September
2,Wednesday,September
2,Wednesday,July
2,Saturday,August
2,Sunday,August
2,Monday,June
2,Wednesday,June
2,Friday,September
2,Saturday,September
